
5-grams:
('michael', 'henry', 'on', 'the', 'arrest'): 5
('henry', 'on', 'the', 'arrest', 'of'): 5
('on', 'the', 'arrest', 'of', 'lt'): 5
('j', 'cope', 'must', 'investigate', 'HOCHUL'): 5
('cope', 'must', 'investigate', 'HOCHUL', 's'): 5
('must', 'investigate', 'HOCHUL', 's', 'buffalo'): 5
('investigate', 'HOCHUL', 's', 'buffalo', 'bills'): 5
('HOCHUL', 's', 'buffalo', 'bills', 'deal'): 5
('michael', 'henry', 'becomes', 'nys', 'republican'): 5
('henry', 'becomes', 'nys', 'republican', 'party'): 5
('becomes', 'nys', 'republican', 'party', 'nominee'): 5
('nys', 'republican', 'party', 'nominee', 'for'): 5
('republican', 'party', 'nominee', 'for', 'attorney'): 5
('michael', 'henry', 'becomes', 'nys', 'conservative'): 5
('henry', 'becomes', 'nys', 'conservative', 'party'): 5
('becomes', 'nys', 'conservative', 'party', 'nominee'): 5
('nys', 'conservative', 'party', 'nominee', 'for'): 5
('conservative', 'party', 'nominee', 'for', 'attorney'): 5
('dhs', 'secretary', 'alejandro', 'mayor', 'kas'): 5
('issued', 'the', 'following', 'statement', 'after'): 5
('the', 'following', 'statement', 'after', 'letitia'): 5
('following', 'statement', 'after', 'letitia', 'james'): 5
('2022', 'new', 'poll', 'shows', 'attorney'): 5
('letitia', 'james', 'new', 'york', 'ny'): 5
('in', 'the', 'race', 'for', 'attorney'): 5
('the', 'race', 'for', 'attorney', 'general'): 5
('letitia', 'james', 'refuses', 'to', 'debate'): 5
('is', 'proud', 'to', 'endorse', 'michael'): 5
('of', 'the', 'new', 'york', 'state'): 5
('it', 'is', 'an', 'honor', 'to'): 5
('candidate', 'michael', 'henry', 'said', 'michael'): 5
('michael', 'henry', 'said', 'michael', 'henry'): 5
('are', 'sick', 'and', 'tired', 'of'): 5
('people', 'of', 'new', 'york', 'are'): 5
('to', 'do', 'her', 'job', 'and'): 5
('for', 'new', 'york', 'state', 'attorney'): 5
('henry', 'for', 'attorney', 'general', 'oct'): 5
('th', 'rt', 'michael', 'henry', '4ag'): 5
('our', 'state', 'gone', 'rt', 'michael'): 5
('state', 'gone', 'rt', 'michael', 'henry'): 5
('rt', 'michael', 'henry', '4ag', 'tish'): 5
('michael', 'henry', '4ag', 'tish', 'james'): 5
('michael', 'henry', '4ag', 'we', 'must'): 5
('my', 'race', 'to', 'replace', 'letitia'): 5
('race', 'to', 'replace', 'letitia', 'james'): 5
('l', 'rt', 'michael', 'henry', '4ag'): 5
('michael', 'henry', '4ag', 'gone', 'rt'): 5
('my', 'campaign', 'for', 'nys', 'attorney'): 5
('campaign', 'for', 'nys', 'attorney', 'general'): 5
('going', 'to', 'save', 'our', 'state'): 5
('michael', 'henry', '4ag', 'we', 'are'): 5
('and', 'rt', 'michael', 'henry', '4ag'): 5
('rt', 'michael', 'henry', '4ag', 'thanks'): 5
('rt', 'michael', 'henry', '4ag', 'there'): 5
('rt', 'michael', 'henry', '4ag', 'major'): 5
('michael', 'henry', '4ag', 'new', 'york'): 5
('for', 'ny', 'attorney', 'general', 'gone'): 5
('rt', 'michael', 'henry', '4ag', 'did'): 5
('michael', 'henry', '4ag', 'did', 'you'): 5
('michael', 'henry', '4ag', 'today', 'i'): 5
('michael', 'henry', '4ag', 'today', 'we'): 5
('rt', 'michael', 'henry', '4ag', 'great'): 5
('gone', 'rt', 'new', 'york', 'gop'): 5
('michael', 'henry', '4ag', 'michael', 'henry'): 5
('the', 'state', 'of', 'the', 'u'): 5
('press', 'release', 'michael', 'henry', 'slams'): 4
('release', 'michael', 'henry', 'slams', 'letitia'): 4
('press', 'release', 'national', 'ny', 'cpd'): 4
('release', 'national', 'ny', 'cpd', '1013'): 4
('press', 'release', 'captains', 'endowment', 'association'): 4
('release', 'captains', 'endowment', 'association', 'endorses'): 4
('general', 'first', 'ad', 'begins', 'today'): 4
('press', 'release', 'nys', 'law', 'enforcement'): 4
('release', 'nys', 'law', 'enforcement', 'officers'): 4
('press', 'release', 'statement', 'from', 'ag'): 4
('release', 'statement', 'from', 'ag', 'candidate'): 4
('press', 'release', 'nassau', 'county', 'sheriff'): 4
('release', 'nassau', 'county', 'sheriff', 's'): 4
('press', 'release', 'police', 'conference', 'of'): 4
('release', 'police', 'conference', 'of', 'new'): 4
('the', 'endorsement', 'of', 'the', 'national'): 4
('endorsement', 'of', 'the', 'national', 'ny'): 4
('of', 'the', 'national', 'ny', 'cpd'): 4
('on', 'bail', 'reform', 'in', '2018'): 4
('of', 'the', 'captains', 'endowment', 'association'): 4
('henry', 'for', 'attorney', 'general', 'it'): 4
('for', 'attorney', 'general', 'it', 's'): 4
('attorney', 'general', 'it', 's', 'about'): 4
('general', 'it', 's', 'about', 'the'): 4
('it', 's', 'about', 'the', 'victims'): 4
('the', 'men', 'and', 'women', 'of'): 4
('oct', '6', 'for', 'immediate', 'release'): 4
('6', 'for', 'immediate', 'release', 'october'): 4
('trafalgar', 'insider', 'advantage', 'poll', 'released'): 4
